Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Motilal Oswal Financial Services,MOTILALOFS.NS,"1,003.95",3.79%,967,"34,15,903","58,077.60",21.67,52.5,"1,064.00",513,6.72%,7.21%,21.43%,471.47%,571.72%,5.44,0.50%,27.89%,25.66%,46.83,921.61,797.49,65.89,61.83%,80.00%
Fertilisers & Chemical Travancore,FACT.NS,882.7,-1.07%,891.8,"73,007","57,735.00",484.19,20.9,"1,112.00",565,-11.45%,-2.38%,-3.92%,669.24%,1950.41%,41.65,0.04%,48.12%,19.24%,3.26,956.12,877.58,31.55,50.00%,70.00%
Bank of India,BANKINDIA.NS,126.86,0.07%,127,"87,65,224","57,714.20",5.85,10.25,130.24,90.05,7.52%,10.33%,21.15%,174.00%,214.01%,0.8,3.19%,9.28%,5.62%,15.14,116.85,111.33,68.15,70.00%,75.00%
Bharti Airtel - PP,BHARTIARTL.NS,"1,475.70",0.43%,"1,465.00","73,298","57,642.70",-,32.08,"1,557.60","1,095.85",2.24%,1.96%,14.80%,288.24%,331.05%,11.06,-,-,-,-,"1,449.11","1,351.07",57.59,-,-
Coforge,COFORGE.NS,"1,716.00",-0.37%,"1,710.00","8,57,446","57,617.20",59.77,36.46,"2,005.36","1,194.01",-2.18%,-8.48%,15.45%,136.11%,206.70%,9,0.22%,22.42%,14.67%,114.98,"1,694.86","1,680.26",54.37,75.26%,80.00%
UPL,UPL.NS,673.8,-1.10%,667,"10,31,190","57,454.90",38.22,30.08,741,483.74,-2.85%,2.17%,21.39%,5.80%,38.68%,1.94,0.84%,-5.74%,7.50%,-,693.35,644.85,45.46,76.00%,80.00%
IRCTC,IRCTC.NS,709.6,-0.85%,710,"6,42,278","57,256.00",43.4,41.06,900.4,656,-2.16%,-7.88%,-19.82%,-2.00%,165.47%,15.5,1.13%,34.40%,44.39%,14.87,717.85,746.8,46.06,76.00%,80.00%
Phoenix Mills,PHOENIXLTD.NS,"1,622.90",1.57%,"1,605.00","8,03,425","57,135.90",59.13,29.97,"1,902.00","1,338.05",2.22%,7.41%,0.48%,132.38%,475.03%,5.55,0.15%,13.29%,10.43%,61.08,"1,541.16","1,573.61",61.19,73.22%,80.00%
AU Small Finance Bank,AUBANK.NS,767.1,0.50%,771.15,"21,54,436","56,930.70",26.2,16.18,841,478.35,7.53%,-4.70%,9.43%,31.89%,105.88%,3.36,0.13%,38.28%,16.45%,23.05,733.45,669.03,63.46,76.00%,80.00%
Bharat Dynamics,BDL.NS,"1,509.40",-1.80%,"1,524.90","6,11,610","56,344.30",98.63,34.8,"2,096.60",890,-5.94%,-17.25%,26.93%,249.20%,901.06%,13.8,0.31%,10.97%,10.19%,15.77,"1,532.01","1,485.35",45.21,70.06%,80.00%
Authum Inv & Infr,AIIL.NS,"3,180.90",-3.59%,"3,300.00","97,081","56,040.40",13.21,52.5,"3,305.00","1,325.50",-2.93%,21.75%,78.70%,243.44%,243.44%,3.68,0.02%,125.98%,25.88%,304.68,"3,061.90","2,266.24",53.54,50.00%,70.00%
