Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Mahindra & Mahindra,M&M.NS,"3,459.70",0.14%,"3,432.00","10,90,517","4,29,626.80",31.33,45.78,"3,723.80","2,425.00",-2.00%,11.89%,9.66%,177.18%,451.00%,5.58,0.71%,15.83%,15.04%,88.8,"3,415.11","3,076.77",48.93,76.00%,88.54%
Kotak Bank,KOTAKBANK.NS,"2,152.10",0.09%,"2,136.00","21,20,004","4,27,567.30",22.35,16.18,"2,301.90","1,679.05",9.20%,-2.35%,12.63%,19.46%,60.01%,2.72,0.12%,13.83%,6.51%,93.78,"2,010.88","2,027.15",68.93,78.00%,90.90%
HCL Technologies,HCLTECH.NS,"1,494.70",-0.05%,"1,490.00","18,20,492","4,05,611.50",23.89,30.79,"2,012.20","1,302.75",1.92%,-7.72%,-19.46%,52.19%,66.00%,5.82,4.02%,23.01%,30.84%,60.53,"1,458.79","1,609.89",61.83,76.00%,90.39%
Sun Pharmaceutical,SUNPHARMA.NS,"1,668.40",-0.15%,"1,662.50","13,75,179","4,00,904.90",34.9,41.06,"1,923.65","1,548.00",4.14%,-0.84%,-12.64%,72.28%,231.59%,5.54,0.96%,14.38%,18.92%,43.95,"1,620.63","1,697.43",60.06,78.00%,91.00%
Axis Bank,AXISBANK.NS,"1,189.60",0.78%,"1,171.00","41,38,448","3,66,240.30",13.25,16.18,"1,247.00",933.5,7.71%,1.44%,2.17%,48.33%,157.85%,1.98,0.08%,16.77%,6.50%,86.46,"1,103.05","1,105.11",63.07,78.00%,91.00%
UltraTech Cement,ULTRACEMCO.NS,"12,172.00",-0.89%,"12,225.00","87,745","3,61,895.50",51.81,43.77,"13,097.00","10,047.85",-2.11%,-2.75%,7.71%,96.90%,177.73%,5.07,0.64%,11.62%,9.06%,243.84,"12,421.92","11,717.35",46.09,78.00%,91.00%
Eternal,ZOMATO.NS,348.35,0.01%,347.5,"1,44,58,590","3,36,121.70",467.91,33.36,349.9,194.8,7.75%,28.73%,24.39%,468.73%,176.47%,11.08,-,1.72%,2.63%,0.68,323.58,261.02,68.68,72.84%,80.00%
NTPC,NTPC.NS,341.7,0.59%,337.95,"66,63,149","3,29,395.70",13.83,29.39,429.4,292.8,3.20%,-0.12%,-19.51%,107.41%,313.43%,1.8,2.44%,12.31%,9.85%,22.08,335.57,335.23,56.23,76.00%,90.49%
Bajaj Finserv,BAJAJFINSV.NS,"2,020.40",0.80%,"2,004.10","10,13,809","3,20,249.70",33.91,52.5,"2,135.00","1,551.65",-2.87%,0.84%,8.20%,20.14%,244.33%,4.46,0.05%,15.03%,10.65%,52.25,"1,992.01","1,925.62",50.15,76.00%,90.77%
Titan,TITAN.NS,"3,533.60",0.05%,"3,518.00","6,06,122","3,13,557.20",84.5,48.56,"3,740.00","2,925.00",-0.01%,3.79%,1.02%,35.98%,187.55%,26.99,0.31%,37.22%,36.95%,38.91,"3,514.57","3,405.11",54.6,78.00%,91.00%
Oil & Natural Gas Corporation,ONGC.NS,244.09,-0.91%,245,"1,26,07,116","3,09,902.60",8.5,20.86,292.9,205,5.09%,-0.05%,-14.80%,87.98%,253.24%,0.89,5.02%,15.64%,11.31%,36.35,237.39,242.22,58.61,76.00%,89.19%
Adani Ports & SEZ,ADANIPORTS.NS,"1,437.80",2.02%,"1,400.80","22,45,061","3,04,450.00",27.3,33.36,"1,494.00",995.65,3.05%,0.33%,1.95%,83.22%,310.92%,4.99,0.49%,15.69%,13.60%,46.34,"1,372.79","1,286.17",62.35,75.01%,75.00%
Bharat Electronics,BEL.NS,409.4,-0.99%,412.95,"78,58,503","3,02,259.40",54.43,73.96,436,240.25,2.75%,0.52%,43.30%,303.75%,1242.30%,14.98,0.59%,24.13%,33.72%,5.8,390,341.41,57.07,75.80%,85.00%
Adani Enterprises,ADANIENT.NS,"2,527.40",-0.92%,"2,529.10","6,45,483","2,94,420.00",84.22,31.89,"3,150.10","2,025.00",6.04%,-2.09%,-18.50%,-21.84%,706.96%,6.27,0.05%,7.45%,10.92%,37.44,"2,400.34","2,407.82",54.06,71.37%,75.00%
JSW Steel,JSWSTEEL.NS,"1,161.40",-0.55%,"1,160.90","4,88,298","2,85,580.10",55.7,28.24,"1,178.80",880,5.50%,11.79%,14.71%,79.13%,300.55%,3.58,0.30%,11.25%,7.49%,28.47,"1,093.55","1,014.76",62.56,76.00%,90.30%
Power Grid Corporation of India,POWERGRID.NS,286.15,-1.04%,287.75,"89,50,161","2,68,927.00",17.26,29.39,345.4,247.3,-0.03%,-4.04%,-13.47%,78.33%,217.06%,2.87,3.14%,18.53%,12.27%,16.88,285.51,289.95,50.13,76.00%,90.25%
Wipro,WIPRO.NS,245.13,-1.44%,246.06,"67,17,589","2,60,729.30",19.08,30.79,324.6,228,-2.45%,-3.59%,-10.79%,29.32%,30.40%,3.32,2.45%,14.88%,18.97%,21.37,246.84,266.07,48.16,76.00%,89.40%
Tata Motors,TATAMOTORS.NS,660.75,-2.68%,679,"3,32,88,645","2,50,024.90",11.26,31.54,940,535.75,-7.32%,-2.04%,-28.82%,65.60%,392.73%,2.19,0.91%,34.17%,18.34%,102.18,684.59,691.71,38.23,76.00%,88.13%
Bajaj Auto,BAJAJ-AUTO.NS,"9,066.00",1.34%,"8,947.00","3,74,531","2,49,837.80",33.36,15.99,"11,990.10","7,089.35",0.45%,12.10%,-23.81%,151.50%,198.77%,7.2,2.32%,26.61%,24.90%,286.76,"8,749.59","8,437.46",59.63,76.00%,89.89%
Coal India,COALINDIA.NS,381.55,-0.77%,383.25,"47,50,043","2,36,956.90",7.1,24.93,502.45,349.25,-3.34%,-0.60%,-23.43%,62.67%,235.13%,2.37,6.94%,44.71%,24.48%,59.34,385.31,385.74,40.87,76.00%,90.56%
Nestle,NESTLEIND.NS,"1,188.10",-0.95%,"1,199.00","10,62,394","2,31,301.30",77.11,52,"1,259.85","1,055.00",-2.01%,-0.70%,-5.03%,26.64%,51.61%,57.13,1.14%,117.72%,59.30%,33.58,"1,168.17","1,156.84",53.01,78.00%,91.00%
Asian Paints,ASIANPAINT.NS,"2,342.50",0.10%,"2,340.20","6,67,732","2,24,471.50",58.41,47.7,"3,103.55","2,124.75",-6.40%,-2.46%,-22.92%,-27.00%,13.46%,11.6,1.06%,28.61%,23.98%,52.96,"2,470.24","2,352.18",33.96,78.00%,91.00%
Interglobe Aviation,INDIGO.NS,"5,787.50",0.92%,"5,758.00","6,69,754","2,21,694.40",33.36,15.67,"6,232.50","3,780.00",1.03%,-2.58%,23.69%,233.35%,323.88%,23.88,0.17%,409.35%,15.53%,202.26,"5,783.68","5,226.13",55.79,76.00%,80.00%
Tata Steel,TATASTEEL.NS,173.03,-0.48%,173,"1,93,86,219","2,17,038.60",45.16,28.24,177.82,122.62,2.25%,7.85%,9.29%,72.86%,369.68%,2.41,2.08%,-5.31%,8.15%,1.6,165.09,151.29,56.75,76.00%,88.68%
Jio Financial Services,JIOFIN.NS,308.45,0.10%,306,"65,33,659","1,95,772.10",122.38,52.5,347.35,198.65,-2.19%,-3.34%,-9.29%,23.93%,23.93%,1.59,0.16%,1.15%,1.49%,2.5,315.14,279.74,50.22,75.00%,85.00%
Grasim Industries,GRASIM.NS,"2,798.00",-0.46%,"2,791.10","2,80,622","1,91,293.30",44.77,30.11,"2,911.00","2,276.95",-0.16%,0.49%,2.61%,67.23%,274.83%,1.94,0.36%,7.14%,5.94%,85.43,"2,795.96","2,640.28",49.72,78.00%,91.00%
Eicher Motors,EICHERMOT.NS,"6,912.00",-0.76%,"6,999.50","3,42,990","1,91,034.60",39.17,75.03,"7,122.50","4,508.75",1.63%,24.75%,44.61%,99.12%,211.41%,8.9,1.01%,22.17%,26.14%,152.7,"6,426.26","5,580.72",58.5,78.00%,90.72%
SBI Life Insurance,SBILIFE.NS,"1,815.30",0.27%,"1,810.00","4,09,793","1,81,488.10",73.1,52.5,"1,912.00","1,372.55",-0.38%,-1.94%,4.43%,52.82%,130.79%,10.2,0.15%,12.70%,0.56%,20.29,"1,821.56","1,669.03",52.3,78.00%,91.00%
Hindalco Industries,HINDALCO.NS,770.2,-0.48%,772.25,"30,77,938","1,73,924.10",10,22.91,790.6,546.45,2.20%,15.56%,3.66%,91.81%,344.56%,1.4,0.64%,9.57%,12.85%,48.78,728.61,662.19,62.9,76.00%,88.96%
Trent,TRENT.NS,"4,681.60",-0.20%,"4,677.10","6,02,116","1,66,762.70",105.11,31.89,"8,345.00","4,488.00",-8.79%,-11.91%,-42.85%,234.01%,575.60%,30.48,0.11%,36.01%,29.27%,35.43,"5,148.54","5,470.95",34.59,72.77%,84.67%
HDFC Life Insurance,HDFCLIFE.NS,746.55,-0.10%,742.2,"16,76,403","1,61,076.60",85.58,52.5,820.75,584.3,-3.94%,-2.38%,0.80%,43.39%,31.74%,9.44,0.28%,10.73%,0.60%,7.61,768.37,713.19,39.09,78.00%,91.00%
Tech Mahindra,TECHM.NS,"1,450.90",-0.43%,"1,455.00","12,29,414","1,42,741.80",31.3,30.79,"1,807.70","1,209.40",-4.53%,-7.98%,-14.27%,43.24%,67.12%,5.19,3.10%,8.83%,18.78%,25.74,"1,483.04","1,550.19",46.01,76.00%,89.99%
Cipla,CIPLA.NS,"1,563.60",0.12%,"1,559.00","6,71,620","1,26,155.00",23.43,41.06,"1,612.35","1,335.00",0.99%,5.36%,-2.18%,41.68%,98.64%,4.05,1.02%,15.50%,21.57%,55.04,"1,543.21","1,497.75",58.03,78.00%,91.00%
Shriram Finance,SHRIRAMFIN.NS,672.15,1.07%,660,"24,69,940","1,25,096.40",14.87,52.5,717.5,493.35,7.78%,0.36%,-1.02%,182.65%,415.65%,2.24,1.47%,14.88%,10.65%,201.17,621.04,623.89,67.12,75.03%,85.00%
Max Healthcare Institute,MAXHEALTH.NS,"1,143.30",-1.13%,"1,154.00","23,76,338","1,12,429.40",92.69,46.73,"1,314.30",888.9,-2.73%,-8.51%,20.70%,166.41%,914.91%,11.85,0.13%,14.89%,11.73%,10.84,"1,183.72","1,145.25",47.97,70.00%,75.00%
Tata Consumer Products,TATACONSUM.NS,"1,117.00",-0.84%,"1,120.00","8,32,628","1,11,471.90",84.04,40.3,"1,180.50",882.9,1.31%,4.22%,0.31%,49.31%,141.15%,5.53,0.74%,7.46%,7.91%,13.53,"1,095.69","1,059.24",50.25,78.00%,90.94%
Apollo Hospitals,APOLLOHOSP.NS,"7,671.00",-0.13%,"7,709.00","1,91,488","1,10,441.00",70.14,46.73,"7,980.00","6,001.00",-1.86%,6.25%,8.15%,79.82%,240.26%,13.45,0.16%,12.53%,15.53%,72.05,"7,653.59","7,082.34",51.22,75.00%,91.00%
Dr Reddys Laboratories,DRREDDY.NS,"1,262.40",-0.16%,"1,257.00","11,88,201","1,05,528.60",18.54,41.06,"1,405.90","1,020.00",-2.95%,0.94%,-5.22%,48.36%,22.12%,3.14,0.63%,19.74%,21.88%,333.59,"1,262.17","1,242.68",49.14,78.00%,91.00%
