Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Adani Energy Solutions,ADANIENSOL.NS,937.65,1.27%,925.85,"12,91,551","1,11,220.80",46.96,29.39,"1,090.95",588,12.01%,6.49%,-4.56%,4.75%,4.75%,5.1,-,8.73%,6.77%,12.54,832.42,825.98,66.94,68.33%,75.00%
ABB,ABB.NS,"5,147.50",-0.74%,"5,160.00","2,84,296","1,09,895.70",60.66,45.92,"8,940.60","4,684.45",-3.58%,-8.85%,-39.94%,57.62%,497.47%,15.17,0.86%,21.00%,35.54%,75.95,"5,175.05","5,624.58",43.15,75.96%,80.00%
Samvardhana Motherson International,MOTHERSON.NS,104.1,-,103,"1,62,16,577","1,09,871.70",32.41,47,143.91,71.5,-3.44%,2.57%,-27.12%,118.84%,152.12%,3.15,0.54%,10.70%,14.07%,4.75,100.22,95.85,50.43,75.72%,80.00%
Shree Cement,SHREECEM.NS,"29,615.00",0.58%,"29,425.00","13,296","1,06,239.80",71.75,43.77,"32,490.00","23,500.00",1.16%,-4.77%,20.52%,40.52%,40.44%,4.95,0.37%,11.55%,6.67%,582.58,"29,965.90","29,250.90",49.69,78.00%,80.00%
Indian Hotels Company,INDHOTEL.NS,726.05,-1.29%,733,"16,92,185","1,04,700.60",60.74,40.64,894.9,649,-8.19%,-0.43%,2.96%,128.93%,693.15%,9.27,0.31%,11.86%,17.74%,9.03,757.67,773.46,39.04,76.00%,80.00%
Jindal Steel,JINDALSTEL.NS,"1,007.60",-0.75%,"1,015.20","16,42,367","1,03,559.30",26.93,28.24,"1,087.60",723.35,-3.70%,7.99%,1.45%,131.71%,425.34%,2.18,0.20%,13.28%,8.16%,54.82,"1,016.36",935.17,43.35,76.00%,80.00%
Zydus Life Science,ZYDUSLIFE.NS,995.5,0.21%,990,"7,27,760","99,964.30",21.45,41.06,"1,071.75",795,-3.99%,2.79%,-6.29%,140.02%,131.46%,4.17,1.11%,17.34%,21.99%,41.43,996.9,949.83,46.84,76.00%,80.00%
REC,RECLTD.NS,371.1,-0.50%,372.9,"28,62,235","98,206.10",5.79,18.49,573.3,348.6,-1.94%,-6.96%,-31.32%,303.59%,434.34%,1.26,4.85%,20.40%,9.48%,55.59,376.89,410.52,43.84,72.32%,80.00%
JSW Energy,JSWENERGY.NS,544.45,-0.28%,543,"13,73,686","95,428.20",43.79,29.39,776.9,418.75,2.34%,2.63%,-22.58%,70.03%,828.30%,3.48,0.37%,8.21%,5.73%,11.18,526.85,519.6,57.31,72.61%,80.00%
Havells,HAVELLS.NS,"1,473.10",-1.52%,"1,495.50","7,20,965","93,823.80",65.39,45.92,"1,970.00","1,381.30",-7.65%,-3.49%,-24.08%,19.67%,109.83%,11.09,0.68%,17.06%,22.51%,22.2,"1,534.60","1,548.21",33.2,78.00%,80.00%
ICICI Lombard General Insurance,ICICIGI.NS,"1,833.40",-1.58%,"1,856.00","3,94,441","92,663.20",34.12,52.5,"2,145.00","1,613.70",-3.52%,-9.22%,-12.25%,61.99%,52.48%,6.01,0.68%,15.72%,-8.50%,42.73,"1,887.57","1,862.09",38.14,78.00%,80.00%
Bajaj Housing Finance,BAJAJHFL.NS,108.72,-1.16%,109,"47,56,932","91,655.70",39.98,26.76,151.05,103.1,-4.08%,-9.29%,-23.39%,-34.11%,-34.11%,4.54,-,-,8.84%,-,112.45,117.92,34.27,70.00%,75.00%
Info Edge,NAUKRI.NS,"1,333.50",0.03%,"1,330.10","5,29,298","86,441.00",85.35,33.36,"1,825.78","1,157.00",-2.15%,-4.68%,-19.53%,76.57%,86.27%,2.48,0.45%,1.88%,4.80%,53.82,"1,360.84","1,440.14",44.44,75.95%,80.00%
