Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
EID Parry,EIDPARRY.NS,"1,036.00",0.93%,"1,026.50","1,75,408","18,257.50",23.68,12.11,"1,246.80",639,-3.65%,-10.47%,27.54%,68.56%,294.07%,2.32,-,14.43%,20.21%,49.62,"1,107.09",944.28,40.92,68.09%,80.00%
Capri Global Capital,CGCL.NS,187.76,-1.05%,188,"8,31,811","18,248.00",31.21,52.5,231.35,150.51,-0.72%,6.10%,-3.92%,8.87%,232.32%,2.86,0.09%,5.74%,9.96%,3.53,187.54,175.09,49.06,50.00%,70.00%
Aditya Birla Real Estate,ABFRL.NS,"1,616.30",-0.70%,"1,627.70","1,00,249","18,180.70",155.75,29.97,"3,140.00","1,562.60",-13.39%,-27.57%,-40.83%,-39.82%,-39.82%,4.7,0.12%,7.45%,-1.54%,21.24,"1,791.51","2,028.21",33.73,64.39%,80.00%
BEML,BEML.NS,"4,378.40",0.33%,"4,321.10","1,93,722","18,173.20",60.9,34.8,"4,874.80","2,350.00",-0.14%,-4.71%,17.44%,188.17%,774.37%,6.3,0.46%,6.52%,11.44%,68.76,"4,131.31","3,720.40",56.93,60.96%,79.92%
Zensar Technologies,ZENSARTECH.NS,778,-2.59%,793,"1,71,971","18,153.00",26.27,36.46,984.95,535.85,-3.78%,-3.79%,7.69%,256.39%,304.05%,4.35,1.67%,18.67%,20.39%,29.42,794.78,785.21,46.78,66.10%,80.00%
Gujarat State Petronet,GSPL.NS,318.25,-0.66%,318.2,"4,39,354","18,074.50",17.09,33.36,413.45,261.45,3.14%,-1.44%,-21.65%,44.27%,73.20%,1.54,1.57%,18.46%,13.15%,29.39,308.1,319.25,53.61,69.42%,80.00%
Jubilant Pharmova,JUBLPHARMA.NS,"1,097.50",-2.38%,"1,128.80","69,575","17,906.40",35.95,38,"1,309.90",802,-2.17%,-8.08%,-4.59%,235.06%,57.40%,2.79,0.45%,1.34%,11.53%,14.96,"1,091.43","1,034.74",50.43,65.08%,80.00%
RBL Bank,RBLBANK.NS,290,-0.55%,289.05,"1,89,08,156","17,875.70",30.67,16.18,292.85,146.1,6.87%,10.11%,40.30%,135.96%,70.84%,1.14,0.34%,8.49%,5.64%,21.3,267.84,211.65,68.16,57.29%,80.00%
Carborundum Universal,CARBORUNIV.NS,928.2,-1.00%,934.8,"63,609","17,854.30",59.87,39.89,"1,536.75",809.1,-5.22%,-6.56%,-36.82%,4.47%,279.63%,5.01,0.43%,14.58%,12.27%,20.19,928.43,"1,005.25",47.19,70.00%,80.00%
Vinati Organics,VINATIORGA.NS,"1,695.50",-1.52%,"1,711.70","11,365","17,848.10",41.31,38.95,"2,085.00","1,412.50",-1.32%,-12.89%,-13.52%,-14.33%,31.57%,6.29,0.44%,20.65%,18.10%,32.57,"1,712.32","1,729.29",46.2,71.27%,80.00%
