Symbol,Grade,Wyckoff_Phase,Score,Current_Price,Signal_Price,Price_Change_%,Price_Date,Entry_Low,Entry_High,Stop_Loss,Risk_%,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,VWAP,VWAP_Deviation_%,POC,Value_Area_Low,Value_Area_High,In_Value_Area,Volume_Ratio,Above_MA20,Above_MA50,MA_Aligned,Market_Trend,Market_Strength,Buy_Reason_1,Buy_Reason_2,Buy_Reason_3
JBCHEPHARM.NS,A,N/A,100,1807.1,1784.6,1.26,2025-12-22,1790.35,1823.85,1756.85,2.78,1907.6,5.56,1957.85,8.34,1796.75,0.58,1813.18,1654.94,1831.67,True,1.88,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+1.3%),At VWAP (perfect entry)
ADANIPORTS.NS,A,N/A,100,1508.7,1499.0,0.65,2025-12-22,1496.92,1520.48,1473.36,2.34,1579.37,4.68,1614.71,7.03,1507.7,0.07,1506.15,1391.31,1531.86,True,1.08,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.6%),At VWAP (perfect entry)
INDUSINDBK.NS,A,N/A,93,856.4,845.05,1.34,2025-12-22,846.4,866.4,826.39,3.5,916.41,7.01,946.42,10.51,847.63,1.03,723.32,721.5,866.9,True,0.71,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+1.3%),In Value Area (fair price)
TITAN.NS,A,N/A,93,3933.8,3929.5,0.11,2025-12-22,3902.76,3964.84,3806.3,3.24,4188.79,6.48,4316.29,9.72,3868.38,1.69,3322.86,3316.28,3935.55,True,0.72,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.1%),In Value Area (fair price)
MARICO.NS,A,N/A,91,739.25,738.8,0.06,2025-12-22,733.19,745.31,721.08,2.46,775.58,4.91,793.75,7.37,728.12,1.53,736.05,697.8,760.8,True,1.35,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.1%),In Value Area (fair price)
CUMMINSIND.NS,A,N/A,88,4519.9,4494.3,0.57,2025-12-22,4473.98,4565.82,4382.15,3.05,4795.41,6.1,4933.16,9.14,4474.67,1.01,4294.38,3911.2,4536.8,True,0.81,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.6%),In Value Area (fair price)
BIOCON.NS,A,N/A,86,399.3,384.9,3.74,2025-12-22,394.31,404.29,384.26,3.77,429.37,7.53,444.41,11.3,394.24,1.28,406.49,347.6,423.19,True,0.9,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Moderate gain (+3.7%),In Value Area (fair price)
RELIANCE.NS,A,N/A,84,1575.4,1542.3,2.15,2025-12-22,1565.26,1585.54,1530.11,2.87,1665.98,5.75,1711.27,8.62,1550.39,1.61,1484.81,1361.39,1567.84,False,1.03,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Moderate gain (+2.1%),Above Value Area (showing strength)
GRASIM.NS,A,N/A,80,2809.7,2799.1,0.38,2025-12-22,2788.57,2830.83,2730.5,2.82,2968.1,5.64,3047.3,8.46,2772.76,1.33,2745.18,2687.78,2935.51,True,1.55,True,True,False,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.4%),In Value Area (fair price)
CIPLA.NS,A,N/A,78,1512.9,1499.6,0.89,2025-12-22,1503.34,1522.46,1484.22,1.9,1570.26,3.79,1598.95,5.69,1510.5,0.16,1512.78,1487.07,1641.35,True,0.88,True,False,False,STRONG_BULLISH,90,Grade A (good quality),Price stable (+0.9%),At VWAP (perfect entry)
POLICYBZR.NS,A,N/A,78,1882.1,1820.5,3.38,2025-12-22,1851.94,1912.26,1791.63,4.81,2063.04,9.61,2153.51,14.42,1867.29,0.79,1847.65,1644.52,1957.54,True,0.67,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Moderate gain (+3.4%),At VWAP (perfect entry)
CAMS.NS,A,N/A,70,762.2,753.8,1.11,2025-12-22,751.55,772.85,730.25,4.19,826.1,8.38,858.04,12.57,768.62,-0.84,768.41,752.94,803.9,True,0.6,False,False,False,STRONG_BULLISH,90,Grade A (good quality),Price stable (+1.1%),At VWAP (perfect entry)
ICICIPRULI.NS,A,N/A,68,650.5,637.95,1.97,2025-12-22,643.09,657.91,616.62,5.21,718.25,10.42,752.13,15.62,631.43,3.02,588.32,587.57,648.54,False,0.41,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (+2.0%),Above Value Area (showing strength)
SUNPHARMA.NS,A,N/A,67,1769.8,1781.3,-0.65,2025-12-22,1756.03,1783.57,1728.49,2.33,1852.43,4.67,1893.74,7.0,1789.9,-1.12,1689.47,1584.12,1812.88,True,0.66,False,True,True,STRONG_BULLISH,90,Grade A (good quality),Price stable (-0.6%),Near VWAP (good entry)
TECHM.NS,A,N/A,64,1646.7,1578.2,4.34,2025-12-22,1633.42,1659.98,1532.63,6.93,1874.83,13.85,1988.9,20.78,1559.2,5.61,1434.66,1382.92,1573.55,False,1.11,True,True,True,STRONG_BULLISH,90,Grade A (good quality),Moderate gain (+4.3%),Above Value Area (showing strength)
