Symbol,Grade,Wyckoff_Phase,Score,Current_Price,Signal_Price,Price_Change_%,Price_Date,Entry_Low,Entry_High,Stop_Loss,Risk_%,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,VWAP,VWAP_Deviation_%,POC,Value_Area_Low,Value_Area_High,In_Value_Area,Volume_Ratio,Above_MA20,Above_MA50,MA_Aligned,Market_Trend,Market_Strength,Buy_Reason_1,Buy_Reason_2,Buy_Reason_3
ADANIPORTS.NS,A,N/A,73,1522.8,1497.2,1.71,2025-12-15,1510.01,1535.59,1479.38,2.85,1609.65,5.7,1653.07,8.55,1504.96,1.19,1427.31,1391.31,1531.86,True,0.85,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.7%),In Value Area (fair price)
TVSMOTOR.NS,A,N/A,68,3651.9,3614.5,1.03,2025-12-15,3619.32,3684.48,3494.81,4.3,3966.09,8.6,4123.18,12.91,3559.96,2.58,3473.65,3386.48,3666.94,True,0.71,True,True,True,BULLISH,70,Grade A (good quality),Price stable (+1.0%),In Value Area (fair price)
LICHSGFIN.NS,A,N/A,61,532.6,533.2,-0.11,2025-12-15,528.03,537.17,518.88,2.58,560.04,5.15,573.76,7.73,545.51,-2.37,570.37,521.64,574.24,True,1.21,False,False,False,BULLISH,70,Grade A (good quality),Price stable (-0.1%),In Value Area (fair price)
