Symbol,Accumulation_Score,Breakout_Score,Total_Score,Current_Price,Stop_Price,Risk_Reward,Price_Change_30d,Volume_Ratio,OBV_Trend,MFI,ATR,ATR_Ratio,RS_Score,Base_Quality,Distance_to_Resistance,Signals,Stage
CAMS.NS,20,8,28,792.8599853515625,753.2790696794316,2.514817030947257,4.01768158808232,1.1193134016336705,21.15456688531559,59.435396167704745,19.790457836065432,1.201413744164902,100.0,5,4.217030827891764,"['OBV rising (21.15%) in consolidation', 'A/D accumulation (43.88%)', 'MFI optimal range (59.44)', 'Healthy base (9.24% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Institutional blocks detected (3)', 'Recent false breakout (penalty)', 'Volume climax + recovery (spring)', 'Near resistance (1.40% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
DCMSHRIRAM.NS,17,9,26,1274.9075927734375,1210.1899460265831,4.536312995951628,4.3247651328971575,1.4388170617252485,58.10023542480368,59.63843616542933,32.358823373427185,0.7999557839440302,78.1813838550786,4,13.914363187405337,"['High volume (1.44x) + low volatility', 'OBV rising (58.10%) in consolidation', 'A/D accumulation (82.88%)', 'MFI optimal range (59.64)', 'Pocket pivot detected', 'Spring/shakeout recovered', 'Tight consolidation', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Volume expanding (2.02x)', 'Near resistance (0.67% away)', 'Strong higher lows structure']",ACCUMULATION
TECHM.NS,16,9,25,1494.699951171875,1441.3713553292412,3.3756177109321936,4.097465418610644,1.0137826260194123,172.9139362619036,55.32582127230159,26.664297921316965,0.9560788883901246,100.0,5,3.7441527041376474,"['OBV rising (172.91%) in consolidation', 'A/D accumulation (47.74%)', 'MFI optimal range (55.33)', 'Healthy base (9.07% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Institutional blocks detected (2)', 'Recent false breakout (penalty)', 'Volume expanding (2.14x)', 'Near resistance (1.28% away)', 'Strong higher lows structure']",ACCUMULATION
TVSMOTOR.NS,13,11,24,3652.0,3517.457101004464,2.556805320594546,1.6901943682394893,0.7746827941084281,13.109355038216966,63.83748744288197,67.27144949776786,0.9769221962142227,100.0,4,1.3143483023001095,"['OBV rising (13.11%) in consolidation', 'A/D accumulation (13.01%)', 'MFI optimal range (63.84)', 'Healthy base (9.27% range)', 'Pocket pivot detected', 'Volume coiling (dry up)', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Volume expanding (1.52x)', 'Near resistance (1.31% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
GICRE.NS,12,11,23,395.1000061035156,380.26429966517856,2.6328368021322635,3.6871850834910664,1.0343215025753214,933.4795512160099,61.250407258952606,7.417853219168527,0.9107642388873574,100.0,5,1.7463917463662573,"['OBV rising (933.48%) in consolidation', 'MFI optimal range (61.25)', 'Healthy base (9.38% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Volume expanding (2.89x)', 'Near resistance (1.75% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
ADANIPORTS.NS,11,11,22,1467.0,1414.4571184430804,2.7166382156899793,8.80367476623939,1.0738924216142358,47.21658047151105,63.17397073606628,26.271440778459823,0.9569072723319009,94.3665332288029,4,1.6019086571233812,"['MFI optimal range (63.17)', 'Healthy base (12.50% range)', 'Pocket pivot detected', 'Tight consolidation', 'Resistance tested 4x', 'Recent false breakout (penalty)', 'Volume climax + recovery (spring)', 'Volume expanding (1.94x)', 'Near resistance (1.60% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
DRREDDY.NS,14,8,22,1266.5,1228.17138671875,4.3425534733811535,-1.7760217140114356,1.0130928707843894,-269.1948761052024,50.533814854212785,19.164306640625,0.8574357150096991,100.0,5,4.761156638620213,"['A/D accumulation (99.49%)', 'MFI optimal range (50.53)', 'Healthy base (9.35% range)', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Volume climax + recovery (spring)', 'Near resistance (2.09% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
VBL.NS,13,8,21,477.6000061035156,454.72143990652904,2.8076937395027355,1.4012751812135085,0.8227676213937772,7.212859003650836,52.14657994356828,11.439283098493304,1.1306296817511587,100.0,4,5.046064865060358,"['OBV rising (7.21%) in consolidation', 'A/D accumulation (51.00%)', 'MFI optimal range (52.15)', 'Healthy base (10.14% range)', 'Pocket pivot detected', 'Tight consolidation', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Near resistance (2.58% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
BAJAJFINSV.NS,13,8,21,2170.199951171875,2098.3428083147323,2.7888674787214343,4.261347642175114,0.9482296564854581,25.084862674777042,68.5198156954816,35.92857142857143,1.027572047107792,100.0,4,1.1427540957566307,"['OBV rising (25.08%) in consolidation', 'A/D accumulation (91.62%)', 'MFI optimal range (68.52)', 'Healthy base (10.91% range)', 'Pocket pivot detected', 'Tight consolidation', 'Resistance tested 4x', 'Recent false breakout (penalty)', 'Near resistance (1.14% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
RELIANCE.NS,12,8,20,1484.0999755859375,1437.4285365513392,2.564738240132839,6.387095024081542,1.0385181860706718,123.37245539375922,56.61047276798933,23.335719517299108,1.1430465295226093,100.0,5,0.06064445986579586,"['MFI optimal range (56.61)', 'Healthy base (9.18% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 5x', 'Near resistance (0.06% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
INDIGO.NS,12,8,20,5873.0,5654.642857142857,3.519280340202809,3.1346035648432697,0.7241437996860868,17.322384742807785,58.80644301831553,109.17857142857143,1.0056942610307849,100.0,5,4.707985697258641,"['OBV rising (17.32%) in consolidation', 'MFI optimal range (58.81)', 'Healthy base (7.18% range)', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Near resistance (1.31% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
ICICIPRULI.NS,12,8,20,630.5999755859375,610.3571166992188,3.0950198848817645,5.021227873422165,1.0217444247657506,-15.168546722043011,56.535420740306826,10.121429443359375,0.8792502348214167,100.0,5,1.7919519926440344,"['MFI optimal range (56.54)', 'Healthy base (9.43% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 5x', 'Near resistance (0.75% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
TVSMOTOR.NS,12,8,20,3639.89990234375,3508.39990234375,2.872244088640687,4.22345676682137,0.7119893983184806,17.297061646623682,63.04281454256978,65.75,0.9429982829518909,100.0,6,2.2006126488443583,"['OBV rising (17.30%) in consolidation', 'A/D accumulation (12.65%)', 'MFI optimal range (63.04)', 'Healthy base (10.10% range)', 'Tight consolidation', 'Volume coiling (dry up)', 'Resistance tested 4x', 'Recent false breakout (penalty)', 'Near resistance (2.20% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
WIPRO.NS,12,8,20,250.27999877929688,242.91285487583704,4.113397055116258,3.747302719402805,0.8681127382740615,44.029546190095886,52.22952416324274,3.6835719517299106,0.8629734525387585,100.0,5,3.8037354403484867,"['OBV rising (44.03%) in consolidation', 'MFI optimal range (52.23)', 'Healthy base (6.63% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Near resistance (0.68% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
TVSMOTOR.NS,12,8,20,3639.300048828125,3500.357247488839,2.7227027778726085,4.7853487230048914,0.9937164111260963,10.017408637044564,40.43721581819076,69.47140066964286,1.0240677168910466,100.0,5,2.2174580300918256,"['OBV rising (10.02%) in consolidation', 'A/D accumulation (190.87%)', 'Healthy base (9.97% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Near resistance (1.32% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
HINDZINC.NS,10,9,19,499.8500061035156,476.35001046316967,2.894212482155566,2.76521636015762,0.7230297778037043,28.387933978625483,53.28131735027479,11.749997820172991,0.9738912402069299,100.0,6,5.191553740639359,"['OBV rising (28.39%) in consolidation', 'MFI optimal range (53.28)', 'Healthy base (10.38% range)', 'Tight consolidation', 'Volume coiling (dry up)', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Volume expanding (2.26x)', 'Near resistance (0.83% away)', 'Strong higher lows structure']",ACCUMULATION
MPHASIS.NS,10,8,18,2896.800048828125,2785.171456473214,3.434388003555568,2.3278868472112046,1.2877220865492,118.94759198620928,48.92827057756161,55.814296177455354,0.7891738038789743,100.0,5,4.8467239704910785,"['OBV rising (118.95%) in consolidation', 'Healthy base (12.08% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 5x', 'Recent false breakout (penalty)', 'Near resistance (2.49% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
TITAN.NS,10,8,18,3866.199951171875,3746.1856863839284,3.3852646562138466,1.3819313274387046,0.8348759574603253,-20.864757326723677,55.66167480798006,60.007132393973215,0.9711242804776391,100.0,4,2.3226954105388655,"['A/D accumulation (37.20%)', 'MFI optimal range (55.66)', 'Healthy base (6.32% range)', 'Pocket pivot detected', 'Tight consolidation', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Near resistance (2.32% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
