Symbol,Grade,Wyckoff_Phase,Score,Current_Price,Signal_Price,Price_Change_%,Price_Date,Entry_Low,Entry_High,Stop_Loss,Risk_%,Target_1,Target_1_Gain_%,Target_2,Target_2_Gain_%,VWAP,VWAP_Deviation_%,POC,Value_Area_Low,Value_Area_High,In_Value_Area,Volume_Ratio,Above_MA20,Above_MA50,MA_Aligned,Market_Trend,Market_Strength,Buy_Reason_1,Buy_Reason_2,Buy_Reason_3
MARICO.NS,A,N/A,71,738.8,724.75,1.94,2025-12-16,732.05,745.55,718.55,2.74,779.3,5.48,799.55,8.22,730.01,1.2,736.05,697.8,760.8,True,1.2,True,True,True,BEARISH,30,Grade A (good quality),Price stable (+1.9%),In Value Area (fair price)
BHARTIARTL.NS,A,N/A,60,2102.0,2067.0,1.69,2025-12-16,2086.6,2117.4,2055.81,2.2,2194.38,4.39,2240.57,6.59,2118.1,-0.76,2001.51,1932.96,2167.97,True,1.52,False,True,True,BEARISH,30,Grade A (good quality),Price stable (+1.7%),At VWAP (perfect entry)
PATANJALI.NS,A,N/A,60,537.85,528.75,1.72,2025-12-16,530.95,544.75,517.14,3.85,579.27,7.7,599.98,11.55,543.17,-0.98,538.33,528.3,599.45,True,1.6,False,False,False,BEARISH,30,Grade A (good quality),Price stable (+1.7%),At VWAP (perfect entry)
