Symbol,Accumulation_Score,Breakout_Score,Total_Score,Current_Price,Stop_Price,Risk_Reward,Price_Change_30d,Volume_Ratio,OBV_Trend,MFI,ATR,ATR_Ratio,RS_Score,Base_Quality,Distance_to_Resistance,Signals,Stage
CAMS.NS,20,8,28,3944.0,3746.7054150261824,2.625483441714335,3.5472903245159797,1.1374876972189885,28.175193547587707,59.44376977294112,98.64729248690878,1.1962567880173598,100.0,5,4.753438556190834,"['OBV rising (28.18%) in consolidation', 'A/D accumulation (41.57%)', 'MFI optimal range (59.44)', 'Healthy base (9.25% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Institutional blocks detected (3)', 'Recent false breakout (penalty)', 'Volume climax + recovery (spring)', 'Near resistance (1.92% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
GRASIM.NS,15,11,26,2950.39990234375,2851.071358816964,2.674197576641148,2.966427126994538,0.9842560611468288,16.949728475589527,56.80287281846086,49.664271763392854,0.9892382583001313,100.0,5,0.9286926312127642,"['OBV rising (16.95%) in consolidation', 'MFI optimal range (56.80)', 'Healthy base (9.68% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 4x', 'Volume expanding (1.79x)', 'Near resistance (0.93% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
FEDERALBNK.NS,12,11,23,207.33999633789062,200.028568812779,3.473346715379297,8.124740445014607,0.8666246129382569,118.54305130101272,49.52220270778166,3.6557137625558034,1.0645861623321742,100.0,7,3.9333869345115082,"['Healthy base (10.17% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Resistance tested 3x', 'Volume expanding (2.38x)', 'Near resistance (0.27% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
HINDPETRO.NS,14,9,23,404.3863525390625,390.12071840122934,4.8881744078157405,4.461813930252639,0.9016725008873248,13.530013880444724,45.01284551814341,7.132817068916585,0.6954057058062788,100.0,6,8.559379485315022,"['OBV rising (13.53%) in consolidation', 'Healthy base (8.74% range)', 'Pocket pivot detected', 'Tight consolidation', 'Volume coiling (dry up)', 'Resistance tested 4x', 'Near resistance (0.16% away)', 'Volatility contraction (VCP)', 'Strong higher lows structure']",ACCUMULATION
LT.NS,12,11,23,3686.0,3588.6142926897323,3.531441153223422,1.5874793078635971,0.8946059929599237,49.23133975497251,53.85184859853163,48.69285365513393,0.8692308429454875,66.46382461459523,5,1.2316848167051004,"['OBV rising (49.23%) in consolidation', 'MFI optimal range (53.85)', 'Healthy base (5.83% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Volume expanding (1.50x)', 'Near resistance (0.49% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
PATANJALI.NS,14,9,23,607.7367553710938,585.8377889807867,2.8802952767907413,1.2037123900861586,0.8841587317705393,24.659648131982724,61.49566466966851,10.94948319515352,0.88842740109469,77.88736315399078,5,2.202547966506995,"['OBV rising (24.66%) in consolidation', 'A/D accumulation (6.45%)', 'MFI optimal range (61.50)', 'Healthy base (7.82% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Recent false breakout (penalty)', 'Volume expanding (1.69x)', 'Near resistance (0.63% away)', 'Strong higher lows structure']",ACCUMULATION
APLAPOLLO.NS,11,11,22,1784.5999755859375,1712.67138671875,2.5914594926676644,5.6476454636337845,1.0792943157269195,126.98503615152241,66.82506252595931,35.96429443359375,0.9964293134504681,100.0,5,2.263814018085368,"['MFI optimal range (66.83)', 'Healthy base (10.16% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Institutional blocks detected (2)', 'Recent false breakout (penalty)', 'Volume expanding (3.33x)', 'Near resistance (2.26% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
MARICO.NS,11,11,22,722.0,703.2571323939732,5.2137166016462615,2.8856430352689704,0.840485544945128,8.824306570889155,45.05390572994876,9.371433803013392,0.7246218237460091,100.0,7,5.124653739612189,"['OBV rising (8.82%) in consolidation', 'A/D accumulation (13.71%)', 'Healthy base (7.22% range)', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Resistance tested 4x', 'Recent false breakout (penalty)', 'Volume expanding (1.72x)', 'Near resistance (2.77% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
UBL.NS,14,8,22,1810.300048828125,1752.914306640625,4.832906931232244,0.6393150816007579,0.8752483985180152,-7.84163107276912,50.21000617583726,28.69287109375,0.8630545294596373,100.0,5,6.777879238930766,"['A/D accumulation (36.02%)', 'MFI optimal range (50.21)', 'Healthy base (5.87% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Near resistance (1.86% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
SUNPHARMA.NS,14,8,22,1658.5,1594.3285435267858,3.573863094345207,4.591035572292463,1.0368726011701943,31.11495760433985,51.95890774024631,32.085728236607146,1.1189897401770519,100.0,5,5.396442568586072,"['OBV rising (31.11%) in consolidation', 'A/D accumulation (49.71%)', 'MFI optimal range (51.96)', 'Healthy base (7.57% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Near resistance (0.58% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",ACCUMULATION
BANKINDIA.NS,11,11,22,119.01000213623047,114.25857543945312,2.599302417069299,6.534780334424414,0.8571764475479131,39.755160670030065,54.09543793574332,2.375713348388672,0.9728330011907917,100.0,7,2.2014915302567575,"['MFI optimal range (54.10)', 'Healthy base (10.65% range)', 'Pocket pivot detected', 'Extremely tight base (VCP)', 'Volume coiling (dry up)', 'Resistance tested 5x', 'Recent false breakout (penalty)', 'Volume expanding (1.75x)', 'Near resistance (1.84% away)', 'Strong higher lows structure', 'Price > MA20 > MA50 (bullish)']",BREAKOUT_READY
DIVISLAB.NS,12,9,21,6132.0,5845.357142857143,4.415930023715488,0.0,0.957051268183162,57.175121842249744,48.08458572367188,143.32142857142858,1.0822505853055413,100.0,4,11.705968672850538,"['OBV rising (57.18%) in consolidation', 'Healthy base (10.49% range)', 'Pocket pivot detected', 'Spring/shakeout recovered', 'Tight consolidation', 'Resistance tested 3x', 'Recent false breakout (penalty)', 'Volume expanding (1.86x)', 'Near resistance (2.41% away)', 'Strong higher lows structure']",ACCUMULATION
